Unnamed: 0,celex
942,31979L0110
943,31979L0111
944,31979L0112
945,31979L0113
946,31979L0115
947,31979L0116
948,31979L0117
949,31979L0168
950,31979L0173
951,31979L0174
952,31979L0196
953,31979L0197
954,31979L0267
955,31979L0268
956,31979L0279
957,31979L0359
958,31979L0372
959,31979L0373
960,31979L0409
961,31979L0530
962,31979L0531
963,31979L0532
964,31979L0533
965,31979L0580
966,31979L0581
967,31979L0622
968,31979L0623
969,31979L0661
970,31979L0663
971,31979L0692
972,31979L0693
973,31979L0694
974,31979L0695
975,31979L0830
976,31979L0831
977,31979L0869
978,31979L0920
979,31979L0923
980,31979L0967
981,31979L1005
982,31979L1034
983,31979L1070
984,31979L1071
985,31979R0214
986,31979R0234
987,31979R0235
988,31979R0269
989,31979R0270
990,31979R0325
991,31979R0337
992,31979R0338
993,31979R0340
994,31979R0348
995,31979R0357
996,31979R0358
997,31979R0527
998,31979R0528
999,31979R0560
1000,31979R0561
1001,31979R0572
1002,31979R0576
1003,31979R0590
1004,31979R0592
1005,31979R0652
1006,31979R0657
1007,31979R0912
1008,31979R0925
1009,31979R0926
1010,31979R0929
1011,31979R0937
1012,31979R0939
1013,31979R0954
1014,31979R0983
1015,31979R0984
1016,31979R0987
1017,31979R1027
1018,31979R1028
1019,31979R1029
1020,31979R1038
1021,31979R1162
1022,31979R1163
1023,31979R1176
1024,31979R1177
1025,31979R1183
1026,31979R1184
1027,31979R1208
1028,31979R1252
1029,31979R1253
1030,31979R1254
1031,31979R1264
1032,31979R1267
1033,31979R1269
1034,31979R1271
1035,31979R1274
1036,31979R1275
1037,31979R1276
1038,31979R1288
1039,31979R1293
1040,31979R1294
1041,31979R1297
1042,31979R1298
1043,31979R1299
1044,31979R1300
1045,31979R1301
1046,31979R1384
1047,31979R1419
1048,31979R1430
1049,31979R1482
1050,31979R1483
1051,31979R1517
1052,31979R1547
1053,31979R1548
1054,31979R1552
1055,31979R1553
1056,31979R1557
1057,31979R1579
1058,31979R1581
1059,31979R1582
1060,31979R1583
1061,31979R1584
1062,31979R1608
1063,31979R1610
1064,31979R1611
1065,31979R1612
1066,31979R1614
1067,31979R1615
1068,31979R1616
1069,31979R1641
1070,31979R1681
1071,31979R1697
1072,31979R1736
1073,31979R1758
1074,31979R1794
1075,31979R1893
1076,31979R1996
1077,31979R2226
1078,31979R2285
1079,31979R2298
1080,31979R2299
1081,31979R2300
